sample_num	sample	is_in_paper	data_source	Y_haplogroup	population	super_population	superpop_color_hex	superpop_color_name	workflow_sample	superpop_color_red	superpop_color_green	superpop_color_blue
1	HG01890	yes	HGSVC	A0b	ACB	AFR	#FFD845	mustard	HG01890	1	0.8470588235	0.2705882353
2	HG02666	yes	HGSVC	A1a	GWD	AFR	#FFD845	mustard	HC02666	1	0.8470588235	0.2705882353
3	NA19384	yes	HGSVC	B2b1	LWK	AFR	#FFD845	mustard	HC19384	1	0.8470588235	0.2705882353
4	NA18989	yes	HGSVC	C1a1a1a1a	JPT	EAS	#778500	olive	HC18989	0.4666666667	0.5215686275	0
5	HG03248	yes	HGSVC	E1a2b1a1a1	GWD	AFR	#FFD845	mustard	HG03248	1	0.8470588235	0.2705882353
6	NA19317	yes	HGSVC	E1b1a1a1a1c1a1a3a1	LWK	AFR	#FFD845	mustard	NA19317	1	0.8470588235	0.2705882353
7	NA19347	yes	HGSVC	E1b1a1a1a1c1a1a3a1	LWK	AFR	#FFD845	mustard	NA19347	1	0.8470588235	0.2705882353
8	HG02554	yes	HGSVC	E1b1a1a1a2a1	ACB	AFR	#FFD845	mustard	HG02554	1	0.8470588235	0.2705882353
9	HG02953	yes	HGSVC	E1b1a1a1a2a1	ESN	AFR	#FFD845	mustard	HG02953	1	0.8470588235	0.2705882353
10	HG01457	yes	HGSVC	E1b1b1b2a1a4	CLM	AMR	#710027	claret	HC01457	0.4431372549	0	0.1529411765
11	NA19331	yes	HGSVC	E1b1b1b2b2a1	LWK	AFR	#FFD845	mustard	NA19331	1	0.8470588235	0.2705882353
12	HG00358	yes	HGSVC	N1a1a1a1a2a1a1a1a1a	FIN	EUR	#018EAD	blue munsell	HG00358	0.003921568627	0.5568627451	0.6784313725
13	HG03009	yes	HGSVC	H1a1a4b2c1a1a	BEB	SAS	#C44CFD	phlox	HG03009	0.768627451	0.2980392157	0.9921568627
14	NA18534	yes	HGSVC	O1b1a2b1a	CHB	EAS	#778500	olive	NA18534	0.4666666667	0.5215686275	0
15	NA19650	yes	HGSVC	R1b1a1b1a1a2b1a1	MXL	AMR	#710027	claret	NA19650	0.4431372549	0	0.1529411765
16	NA24385/HG002	yes, T2T assembly	T2T	J1a2a1a2c1a1	Ashk.	EUR	#018EAD	blue munsell	n/a	0.003921568627	0.5568627451	0.6784313725
17	HG03579	yes (HPRC test)	HPRC	G2a2b2a1a1c1a1a2a1	MSL	AFR	#FFD845	mustard	HG03579	1	0.8470588235	0.2705882353
18	HG01952	yes (HPRC test)	HPRC	Q1b1a1a	PEL	AMR	#710027	claret	HG01952	0.4431372549	0	0.1529411765
19	HG01243	yes (HPRC test)	HPRC	R1b1a1b1a1a2a5	PUR	AMR	#710027	claret	HG01243	0.4431372549	0	0.1529411765
20	NA24149	no (no ONT?)	GIAB(?)	J1a2a1a2c1a1	Ashk.	EUR	#018EAD	blue munsell	n/a	0.003921568627	0.5568627451	0.6784313725
21	NA19239	yes	HGSVC	E1a2a1a1a	YRI	AFR	#FFD845	mustard	NA19239	1	0.8470588235	0.2705882353
22	HG00512	yes	HGSVC	O2a2b1a2a1a	CHS	EAS	#778500	olive	HG00512	0.4666666667	0.5215686275	0
23	HG00731	yes	HGSVC	R1b1a1b1a1a2a5	PUR	AMR	#710027	claret	HG00731	0.4431372549	0	0.1529411765
24	HG03371	yes	HGSVC	E1b1a1a1a1c1a1a3c1b	ESN	AFR	#FFD845	mustard	HG03371	1	0.8470588235	0.2705882353
25	HG02011	yes	HGSVC	E1b1a1a1a1c1b	ACB	AFR	#FFD845	mustard	HG02011	1	0.8470588235	0.2705882353
26	HG03456	yes	HGSVC	E1b1a1a1a1c1b	MSL	AFR	#FFD845	mustard	HG03456	1	0.8470588235	0.2705882353
27	NA19705	yes	HGSVC	E1b1a1a1a2a1a3b1a1	ASW	AFR	#FFD845	mustard	NA19705	1	0.8470588235	0.2705882353
28	HG03065	yes	HGSVC	E1b1a1b1	MSL	AFR	#FFD845	mustard	HG03065	1	0.8470588235	0.2705882353
29	HG02492	yes	HGSVC	J2a1a1a2a2b	PJL	SAS	#C44CFD	phlox	HG02492	0.768627451	0.2980392157	0.9921568627
30	HG01596	yes	HGSVC	O2a1b1a1a1a1c	KHV	EAS	#778500	olive	HG01596	0.4666666667	0.5215686275	0
31	NA20509	yes	HGSVC	R1b1a1b1a1a2b1a1	TSI	EUR	#018EAD	blue munsell	NA20509	0.003921568627	0.5568627451	0.6784313725
32	HG00096	yes	HGSVC	R1b1a1b1a1a2c1a1f1a2	GBR	EUR	#018EAD	blue munsell	HG00096	0.003921568627	0.5568627451	0.6784313725
33	HG01505	yes	HGSVC	R1b1a1b1a1a2c1a4b2d1	IBS	EUR	#018EAD	blue munsell	HG01505	0.003921568627	0.5568627451	0.6784313725
34	HG03732	yes	HGSVC	R2	ITU	SAS	#C44CFD	phlox	HG03732	0.768627451	0.2980392157	0.9921568627
35	HG00673	yes (HPRC)	HPRC	O2a2a1a1a	CHS	EAS	#778500	olive	HG00673	0.4666666667	0.5215686275	0
36	HG03492	yes (HPRC)	HPRC	R1a1a1b2a1a2c	PJL	SAS	#C44CFD	phlox	HG03492	0.768627451	0.2980392157	0.9921568627
37	HG01358	yes (HPRC)	HPRC	R1b1a1b1a1a2b1a1	CLM	AMR	#710027	claret	HG01358	0.4431372549	0	0.1529411765
38	HG01258	yes (HPRC)	HPRC	J1	CLM	AMR	#710027	claret	HG01258	0.4431372549	0	0.1529411765
39	HG02572	yes (HPRC)	HPRC	E1a2b1a2	GWD	AFR	#FFD845	mustard	HG02572	1	0.8470588235	0.2705882353
40	HG02717	yes (HPRC)	HPRC	E1b1a1a1a1c2c3a2a	GWD	AFR	#FFD845	mustard	HG02717	1	0.8470588235	0.2705882353
41	HG01928	yes (HPRC)	HPRC	Q1b1a1a	PEL	AMR	#710027	claret	HG01928	0.4431372549	0	0.1529411765
42	HG01106	yes (HPRC)	HPRC	E1b1b1b1a1	PUR	AMR	#710027	claret	HG01106	0.4431372549	0	0.1529411765
43	HG00621	yes (HPRC)	HPRC	O2a2b1a1a1	CHS	EAS	#778500	olive	HG00621	0.4666666667	0.5215686275	0
44	HG01109	yes (HPRC)	HPRC	E1b1b1a1b1a	PUR	AMR	#710027	claret	HG01109	0.4431372549	0	0.1529411765
